Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2021-12-21,18/01/2022,14/02/2022,WEE****83,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,1.0,0.0,2021-12-21,738145,1
Recorded,2012-06-13,13/06/2012,29/06/2012,WEE****58,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,50.0,1750.0,2012-06-13,734667,0
Recorded,2018-11-23,09/01/2019,08/02/2019,WEE****56,Murray,Low,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,24.5,500.0,2018-11-23,737021,1
Recorded,2020-04-16,20/04/2020,30/04/2020,WEE****56,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,1.5,5000.0,2020-04-16,737531,0
Recorded,2020-05-06,09/06/2020,07/08/2020,WEE****04,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,4.5,0.0,2020-05-06,737551,1
Recorded,2011-08-30,31/08/2011,25/10/2011,WEE****56,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,5.0,0.0,2011-08-30,734379,1
Recorded,2021-01-04,01/04/2021,15/04/2021,WEE****74,Murray,Low,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,10.0,115.0,2021-01-04,737794,1
Recorded,2024-12-02,13/02/2024,21/02/2024,WEE****64,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,3.0,6800.0,2024-12-02,739222,0
Recorded,2011-08-07,28/07/2011,21/09/2011,WEE****60,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,45.0,1850.0,2011-08-07,734356,0
Recorded,2019-11-27,29/11/2019,16/12/2019,WEE****36,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,7.4,5000.0,2019-11-27,737390,0
Recorded,2019-03-12,04/12/2019,03/02/2020,WEE****96,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,18.5,3500.0,2019-03-12,737130,0
Recorded,2020-03-02,07/02/2020,24/03/2020,WEE****43,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,6.0,7000.0,2020-03-02,737486,0
Recorded,2023-01-31,01/02/2023,24/02/2023,WEE****00,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,10.0,7700.0,2023-01-31,738551,0
