Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2020-06-04,06/04/2020,09/04/2020,WEE****01,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,41.7,4700.0,2020-06-04,737580,0
Recorded,2011-10-26,27/10/2011,19/12/2011,WEE****99,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,42.7,180.0,2011-10-26,734436,1
Recorded,2016-06-22,28/06/2016,05/08/2016,WEE****44,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,5.2,2750.0,2016-06-22,736137,0
Recorded,2020-04-16,27/04/2020,07/05/2020,WEE****89,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,10.4,4000.0,2020-04-16,737531,0
Recorded,2009-08-13,17/09/2009,13/11/2009,WEE****37,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,3 Lower Goulburn,Goulburn-Murray Water,3 Lower Goulburn,53.8,0.0,2009-08-13,733632,1
Recorded,2016-09-29,07/10/2016,11/11/2016,WEE****85,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,10.1,220.0,2016-09-29,736236,1
Recorded,2017-10-18,24/10/2017,10/11/2017,WEE****24,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,37.4,340.0,2017-10-18,736620,1
Recorded,2018-01-16,22/01/2018,21/02/2018,WEE****39,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,40.0,3000.0,2018-01-16,736710,0
Recorded,2012-09-02,23/02/2012,26/03/2012,WEE****06,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,70.0,1900.0,2012-09-02,734748,0
Recorded,2019-07-03,08/03/2019,25/03/2019,WEE****76,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,6.0,3800.0,2019-07-03,737243,0
Recorded,2012-08-27,18/09/2012,16/10/2012,WEE****53,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.0,1600.0,2012-08-27,734742,0
Recorded,2010-10-11,30/11/2010,21/01/2011,WEE****45,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.0,2000.0,2010-10-11,734056,0
Recorded,2014-09-04,29/05/2014,19/06/2014,WEE****64,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.0,1350.0,2014-09-04,735480,0
Recorded,2017-12-04,01/05/2017,18/05/2017,WEE****47,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,3.0,0.0,2017-12-04,736667,1
Refused,2011-07-22,22/07/2011,22/07/2011,WEE****49,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,11.5,130.0,2011-07-22,734340,1
Recorded,2021-12-21,04/02/2022,14/04/2022,WEE****30,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,13.1,0.0,2021-12-21,738145,1
Recorded,2012-08-29,04/09/2012,01/10/2012,WEE****18,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,50.0,1300.0,2012-08-29,734744,0
Recorded,2013-03-20,13/04/2013,06/05/2013,WEE****68,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,57.6,58.4,2013-03-20,734947,1
Recorded,2010-01-09,02/09/2010,27/10/2010,WEE****72,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,445.7,1897.0,2010-01-09,733781,0
Recorded,2019-06-21,26/06/2019,31/07/2019,WEE****64,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,1A Greater Goulburn,2.0,4000.0,2019-06-21,737231,0
Recorded,2010-07-21,02/08/2010,14/09/2010,WEE****51,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,221.0,2000.0,2010-07-21,733974,0
